met type,date,mean/sum,min,max,%complete,comments
Air Temperature,06/06/2010,16.96,12.21,22.37,100,
Air Temperature,07/06/2010,13.17,10.02,17.49,100,
Air Temperature,08/06/2010,13.33,10.66,17.5,100,
Air Temperature,09/06/2010,15.12,11.45,19.66,100,
Air Temperature,10/06/2010,14.08,12.78,15.13,100,
Air Temperature,11/06/2010,13.72,11.06,17.77,100,
Air Temperature,12/06/2010,13.72,9.75,18.59,100,
Air Temperature,13/06/2010,14.25,10.02,18.72,100,
Air Temperature,14/06/2010,14.08,11.22,19.87,100,
Air Temperature,15/06/2010,12.56,7.94,17.42,100,
Air Temperature,16/06/2010,12.87,6.48,18.73,100,
Air Temperature,17/06/2010,15.2,7.21,21.61,100,
Air Temperature,18/06/2010,13.75,9.05,20.55,100,
Air Temperature,19/06/2010,10.97,6.69,15.13,100,
Air Temperature,20/06/2010,12.1,6.57,17.58,100,
Air Temperature,21/06/2010,17.11,10.62,22.11,100,
Air Temperature,22/06/2010,18.88,13.36,23.91,100,
Air Temperature,23/06/2010,18.91,14.02,23.51,100,
Air Temperature,24/06/2010,18.75,13.03,24.03,100,
Air Temperature,25/06/2010,18.89,13.14,25.1,100,
Air Temperature,26/06/2010,18.78,12.21,23.88,100,
Air Temperature,27/06/2010,20.67,12.36,26.98,100,
Air Temperature,28/06/2010,19.82,13.63,25.99,100,
Air Temperature,29/06/2010,18.36,14.92,22.86,100,
Air Temperature,30/06/2010,17.52,13.38,23.2,100,
Air Temperature,01/07/2010,17.68,12.6,22.63,100,
Air Temperature,02/07/2010,18.64,15.55,21.93,100,
Air Temperature,03/07/2010,18.1,13.22,23.23,100,
Air Temperature,04/07/2010,16.15,11.71,19.69,100,
Air Temperature,05/07/2010,17.32,12.99,21.86,100,
Air Temperature,06/07/2010,15.69,10.86,20.37,100,
Air Temperature,07/07/2010,16.16,12.57,19.18,100,
Air Temperature,08/07/2010,18.44,14.71,23.55,100,
Air Temperature,09/07/2010,19.9,14.17,26.9,100,
Air Temperature,10/07/2010,19.25,15.32,24,100,
Air Temperature,11/07/2010,18.39,15.02,23.39,100,
Air Temperature,12/07/2010,17.15,13.8,22.18,100,
Air Temperature,13/07/2010,15.85,13.59,19.15,100,
Air Temperature,14/07/2010,16.1,13.99,18.56,100,
Air Temperature,15/07/2010,15.35,13.87,18.1,100,
Air Temperature,16/07/2010,14.94,11.23,18.17,100,
Air Temperature,17/07/2010,15.08,11.41,19.4,100,
Air Temperature,18/07/2010,16.05,10.9,20.57,100,
Air Temperature,19/07/2010,18.98,13.22,24.59,100,
Air Temperature,20/07/2010,19.38,15.02,25.21,100,
Air Temperature,21/07/2010,16.78,13.44,20.42,100,
Air Temperature,22/07/2010,15.48,12.2,19.37,100,
Air Temperature,23/07/2010,15.73,11.96,20.26,100,
Air Temperature,24/07/2010,17.06,13.66,21.72,100,
Air Temperature,25/07/2010,18.71,14.21,23.79,100,
Air Temperature,26/07/2010,19.68,17.03,24.3,100,
Air Temperature,27/07/2010,19.51,16.36,23.81,100,
Air Temperature,28/07/2010,17.66,14.06,21.97,100,
Air Temperature,29/07/2010,16.8,12.06,21.01,100,
Air Temperature,30/07/2010,16.01,10.75,20.6,100,
Air Temperature,31/07/2010,17.83,14.31,22.19,100,
Air Temperature,01/08/2010,16.89,13.29,20.86,100,
Air Temperature,02/08/2010,17.24,13.25,21.65,100,
Air Temperature,03/08/2010,16.23,11.47,20.34,100,
